CAPEC ID: 1, Entry ID: 1574.010
CAPEC ID: 550, Entry ID: 1543
CAPEC ID: 551, Entry ID: 1543
CAPEC ID: 552, Entry ID: 1014
CAPEC ID: 552, Entry ID: 1542.003
CAPEC ID: 552, Entry ID: 1547.006
CAPEC ID: 555, Entry ID: 1021
CAPEC ID: 555, Entry ID: 1114.002
CAPEC ID: 555, Entry ID: 1133
CAPEC ID: 556, Entry ID: 1546.001
CAPEC ID: 558, Entry ID: 1505.005
CAPEC ID: 558, Entry ID: 1546.008
CAPEC ID: 560, Entry ID: 1078
CAPEC ID: 561, Entry ID: 1021.002
CAPEC ID: 562, Entry ID: 1080
CAPEC ID: 564, Entry ID: 1037
CAPEC ID: 564, Entry ID: 1543.001
CAPEC ID: 564, Entry ID: 1543.004
CAPEC ID: 564, Entry ID: 1547
CAPEC ID: 565, Entry ID: 1110.003
CAPEC ID: 568, Entry ID: 1056.001
CAPEC ID: 569, Entry ID: 1056
CAPEC ID: 57, Entry ID: 1040
CAPEC ID: 571, Entry ID: 1562.002
CAPEC ID: 571, Entry ID: 1562.002
CAPEC ID: 571, Entry ID: 1562.006
CAPEC ID: 571, Entry ID: 1562.008
CAPEC ID: 572, Entry ID: 1027.001
CAPEC ID: 573, Entry ID: 1057
CAPEC ID: 574, Entry ID: 1007
CAPEC ID: 575, Entry ID: 1087
CAPEC ID: 576, Entry ID: 1069
CAPEC ID: 576, Entry ID: 1615
CAPEC ID: 577, Entry ID: 1033
CAPEC ID: 578, Entry ID: 1556.006
CAPEC ID: 578, Entry ID: 1562.001
CAPEC ID: 578, Entry ID: 1562.002
CAPEC ID: 578, Entry ID: 1562.004
CAPEC ID: 578, Entry ID: 1562.007
CAPEC ID: 578, Entry ID: 1562.008
CAPEC ID: 578, Entry ID: 1562.009
CAPEC ID: 579, Entry ID: 1547.004
CAPEC ID: 580, Entry ID: 1082
CAPEC ID: 581, Entry ID: 1518.001
CAPEC ID: 593, Entry ID: 1185
CAPEC ID: 593, Entry ID: 1550.001
CAPEC ID: 593, Entry ID: 1563
CAPEC ID: 60, Entry ID: 1134.001
CAPEC ID: 60, Entry ID: 1550.004
CAPEC ID: 600, Entry ID: 1110.004
CAPEC ID: 609, Entry ID: 1111
CAPEC ID: 616, Entry ID: 1036.005
CAPEC ID: 620, Entry ID: 1600
CAPEC ID: 633, Entry ID: 1134
CAPEC ID: 634, Entry ID: 1123
CAPEC ID: 634, Entry ID: 1125
CAPEC ID: 635, Entry ID: 1036.007
CAPEC ID: 636, Entry ID: 1001.002
CAPEC ID: 636, Entry ID: 1027.003
CAPEC ID: 636, Entry ID: 1027.004
CAPEC ID: 636, Entry ID: 1218.001
CAPEC ID: 636, Entry ID: 1221
CAPEC ID: 637, Entry ID: 1115
CAPEC ID: 638, Entry ID: 1542.002
CAPEC ID: 639, Entry ID: 1039
CAPEC ID: 639, Entry ID: 1552.001
CAPEC ID: 639, Entry ID: 1552.003
CAPEC ID: 639, Entry ID: 1552.004
CAPEC ID: 639, Entry ID: 1552.006
CAPEC ID: 640, Entry ID: 1505.005
CAPEC ID: 640, Entry ID: 1574.006
CAPEC ID: 640, Entry ID: 1574.013
CAPEC ID: 640, Entry ID: 1620
CAPEC ID: 641, Entry ID: 1574.002
CAPEC ID: 642, Entry ID: 1505.005
CAPEC ID: 642, Entry ID: 1554
CAPEC ID: 642, Entry ID: 1574.005
CAPEC ID: 643, Entry ID: 1135
CAPEC ID: 644, Entry ID: 1550.002
CAPEC ID: 645, Entry ID: 1550.003
CAPEC ID: 646, Entry ID: 1120
CAPEC ID: 647, Entry ID: 1005
CAPEC ID: 647, Entry ID: 1012
CAPEC ID: 647, Entry ID: 1552.002
CAPEC ID: 648, Entry ID: 1113
CAPEC ID: 648, Entry ID: 1513
CAPEC ID: 649, Entry ID: 1036.006
CAPEC ID: 65, Entry ID: 1040
CAPEC ID: 650, Entry ID: 1505.003
CAPEC ID: 651, Entry ID: 1111
CAPEC ID: 652, Entry ID: 1558
CAPEC ID: 654, Entry ID: 1056
CAPEC ID: 654, Entry ID: 1548.004
CAPEC ID: 655, Entry ID: 1027.001
CAPEC ID: 657, Entry ID: 1072
CAPEC ID: 660, Entry ID: 1055
CAPEC ID: 662, Entry ID: 1185
CAPEC ID: 665, Entry ID: 1211
CAPEC ID: 665, Entry ID: 1542.002
CAPEC ID: 665, Entry ID: 1556
CAPEC ID: 666, Entry ID: 1498.001
CAPEC ID: 666, Entry ID: 1499.001
CAPEC ID: 668, Entry ID: 1565.002
CAPEC ID: 669, Entry ID: 1195.002
CAPEC ID: 670, Entry ID: 1127
CAPEC ID: 670, Entry ID: 1195.001
CAPEC ID: 671, Entry ID: 1195.003
CAPEC ID: 672, Entry ID: 1195.003
CAPEC ID: 673, Entry ID: 1195.002
CAPEC ID: 674, Entry ID: 1195.003
CAPEC ID: 675, Entry ID: 1052
CAPEC ID: 677, Entry ID: 1195.003
CAPEC ID: 678, Entry ID: 1195.002
CAPEC ID: 68, Entry ID: 1553.002
CAPEC ID: 691, Entry ID: 1195.001
CAPEC ID: 691, Entry ID: 1195.002
CAPEC ID: 694, Entry ID: 1614
CAPEC ID: 695, Entry ID: 1195.001
CAPEC ID: 697, Entry ID: 1557.003
CAPEC ID: 698, Entry ID: 1176
CAPEC ID: 698, Entry ID: 1505.004
CAPEC ID: 70, Entry ID: 1078.001
CAPEC ID: 700, Entry ID: 1599
CAPEC ID: 94, Entry ID: 1557
CAPEC ID: 98, Entry ID: 1566
CAPEC ID: 98, Entry ID: 1598
